repo,sha,parent,child,lic_parent,lic_child
apache/airflow,,@babel/runtime,regenerator-runtime,MIT,MIT
apache/airflow,,react,loose-envify,MIT,MIT
apache/airflow,,@babel/types,@babel/helper-string-parser,unknown,MIT
apache/airflow,,@babel/types,@babel/helper-validator-identifier,unknown,MIT
apache/airflow,,@babel/types,to-fast-properties,unknown,MIT
apache/airflow,,spdx-correct,spdx-expression-parse,unknown,MIT
apache/airflow,,spdx-correct,spdx-license-ids,unknown,CC0-1.0
apache/airflow,,spdx-expression-parse,spdx-license-ids,MIT,CC0-1.0
apache/airflow,,spdx-expression-parse,spdx-exceptions,MIT,CC-BY-3.0
apache/airflow,,has-tostringtag,has-symbols,MIT,MIT
apache/airflow,,which-collection,is-set,MIT,MIT
apache/airflow,,which-collection,is-map,MIT,MIT
apache/airflow,,which-collection,is-weakmap,MIT,MIT
apache/airflow,,which-collection,is-weakset,MIT,unknown
apache/airflow,,call-bound,get-intrinsic,MIT,MIT
apache/airflow,,call-bound,call-bind-apply-helpers,MIT,MIT
apache/airflow,,is-regex,hasown,MIT,MIT
apache/airflow,,is-regex,gopd,MIT,MIT
apache/airflow,,is-regex,has-tostringtag,MIT,MIT
apache/airflow,,is-regex,call-bound,MIT,MIT
apache/airflow,,function.prototype.name,hasown,MIT,MIT
apache/airflow,,function.prototype.name,define-properties,MIT,MIT
apache/airflow,,function.prototype.name,is-callable,MIT,MIT
apache/airflow,,function.prototype.name,functions-have-names,MIT,MIT
apache/airflow,,function.prototype.name,call-bound,MIT,MIT
apache/airflow,,function.prototype.name,call-bind,MIT,MIT
apache/airflow,,is-weakref,call-bound,MIT,MIT
apache/airflow,,which-boxed-primitive,is-string,MIT,unknown
apache/airflow,,which-boxed-primitive,is-bigint,MIT,MIT
apache/airflow,,which-boxed-primitive,is-symbol,MIT,MIT
apache/airflow,,which-boxed-primitive,is-number-object,MIT,MIT
apache/airflow,,which-boxed-primitive,is-boolean-object,MIT,MIT
apache/airflow,,is-finalizationregistry,call-bound,MIT,MIT
apache/airflow,,is-async-function,get-proto,MIT,MIT
apache/airflow,,is-async-function,has-tostringtag,MIT,MIT
apache/airflow,,is-async-function,call-bound,MIT,MIT
apache/airflow,,is-async-function,async-function,MIT,MIT
apache/airflow,,is-async-function,safe-regex-test,MIT,MIT
apache/airflow,,is-generator-function,get-proto,MIT,MIT
apache/airflow,,is-generator-function,has-tostringtag,MIT,MIT
apache/airflow,,is-generator-function,call-bound,MIT,MIT
apache/airflow,,is-generator-function,safe-regex-test,MIT,MIT
apache/airflow,,which-typed-array,gopd,MIT,MIT
apache/airflow,,which-typed-array,get-proto,MIT,MIT
apache/airflow,,which-typed-array,available-typed-arrays,MIT,MIT
apache/airflow,,which-typed-array,has-tostringtag,MIT,MIT
apache/airflow,,which-typed-array,call-bound,MIT,MIT
apache/airflow,,which-typed-array,call-bind,MIT,MIT
apache/airflow,,which-typed-array,for-each,MIT,MIT
apache/airflow,,is-date-object,has-tostringtag,MIT,MIT
apache/airflow,,is-date-object,call-bound,MIT,MIT
apache/airflow,,fault,format,unknown,MIT
apache/airflow,,string-width,strip-ansi,unknown,MIT
apache/airflow,,string-width,emoji-regex,unknown,MIT
apache/airflow,,string-width,is-fullwidth-code-point,unknown,MIT
apache/airflow,,string-width,eastasianwidth,unknown,MIT
apache/airflow,,strip-ansi,ansi-regex,MIT,MIT
apache/airflow,,vfile-message,unist-util-stringify-position,unknown,MIT
apache/airflow,,vfile-message,@types/unist,unknown,MIT
apache/airflow,,unist-util-stringify-position,@types/unist,MIT,MIT
apache/airflow,,react-router-dom,react,unknown,MIT
apache/airflow,,react-router-dom,react-dom,unknown,MIT
apache/airflow,,react-router-dom,@remix-run/router,unknown,MIT
apache/airflow,,react-router-dom,react-router,unknown,MIT
apache/airflow,,react-dom,loose-envify,MIT,MIT
apache/airflow,,react-dom,react,MIT,MIT
apache/airflow,,react-dom,scheduler,MIT,unknown
apache/airflow,,react-router,react,MIT,MIT
apache/airflow,,react-router,@remix-run/router,MIT,MIT
apache/airflow,,react-router,cookie,MIT,MIT
apache/airflow,,react-router,set-cookie-parser,MIT,MIT
apache/airflow,,react-router,react-dom,MIT,MIT
apache/airflow,,aria-query,dequal,unknown,MIT
apache/airflow,,@zag-js/color-picker,@zag-js/dismissable,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/color-utils,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/types,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/popper,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/anatomy,unknown,unknown
apache/airflow,,@zag-js/color-picker,@zag-js/core,unknown,unknown
apache/airflow,,@zag-js/dismissable,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/dismissable,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/dismissable,@zag-js/interact-outside,unknown,unknown
apache/airflow,,@zag-js/color-utils,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/dom-query,@zag-js/types,unknown,unknown
apache/airflow,,@zag-js/types,csstype,unknown,MIT
apache/airflow,,@zag-js/popper,@floating-ui/dom,unknown,unknown
apache/airflow,,@zag-js/popper,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/popper,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/core,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/core,@zag-js/dom-query,unknown,unknown
apache/airflow,,has-property-descriptors,es-define-property,unknown,MIT
apache/airflow,,@humanfs/node,@humanwhocodes/retry,unknown,Apache-2.0
apache/airflow,,@humanfs/node,@humanfs/core,unknown,Apache-2.0
apache/airflow,,@zag-js/dialog,@zag-js/aria-hidden,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/dismissable,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/utils,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/dom-query,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/types,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/focus-trap,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/remove-scroll,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/anatomy,unknown,unknown
apache/airflow,,@zag-js/dialog,@zag-js/core,unknown,unknown
