repo,sha,name,license,is_root
apache/airflow,,@vitest/snapshot,MIT,False
apache/airflow,,expect-type,Apache-2.0,False
apache/airflow,,@vitest/utils,MIT,False
apache/airflow,,happy-dom,MIT,False
apache/airflow,,@vitest/runner,MIT,False
apache/airflow,,tinypool,MIT,False
apache/airflow,,@vitest/expect,MIT,False
apache/airflow,,remark-gfm,unknown,False
apache/airflow,,remark-stringify,MIT,False
apache/airflow,,micromark-extension-gfm,MIT,False
apache/airflow,,mdast-util-gfm,MIT,False
apache/airflow,,doctrine,unknown,False
apache/airflow,,@nodelib/fs.walk,unknown,False
apache/airflow,,fastq,ISC,False
apache/airflow,,@istanbuljs/schema,MIT,False
apache/airflow,,glob,ISC,False
apache/airflow,,typed-array-length,unknown,False
apache/airflow,,possible-typed-array-names,MIT,False
apache/airflow,,is-typed-array,MIT,False
apache/airflow,,for-each,MIT,False
apache/airflow,,is-array-buffer,unknown,False
apache/airflow,,cors,unknown,False
apache/airflow,,object-assign,MIT,False
apache/airflow,,vary,MIT,False
apache/airflow,,callsites,MIT,False
apache/airflow,,es-set-tostringtag,unknown,False
apache/airflow,,@swc/types,unknown,False
apache/airflow,,@swc/counter,Apache-2.0,False
apache/airflow,,path-scurry,unknown,False
apache/airflow,,lru-cache,ISC,False
apache/airflow,,react-base16-styling,unknown,False
apache/airflow,,pure-color,MIT,False
apache/airflow,,base16,MIT,False
apache/airflow,,lodash.curry,MIT,False
apache/airflow,,lodash.flow,MIT,False
apache/airflow,,fbemitter,unknown,False
apache/airflow,,fbjs,MIT,False
apache/airflow,,parse-entities,unknown,False
apache/airflow,,character-entities-legacy,MIT,False
apache/airflow,,character-entities,MIT,False
apache/airflow,,is-hexadecimal,MIT,False
apache/airflow,,character-reference-invalid,MIT,False
apache/airflow,,@babel/helper-environment-visitor,unknown,False
apache/airflow,,eslint-plugin-prettier,unknown,False
apache/airflow,,prettier-linter-helpers,MIT,False
apache/airflow,,prettier,MIT,False
apache/airflow,,eslint-config-prettier,MIT,False
apache/airflow,,micromark-util-decode-numeric-character-reference,unknown,False
apache/airflow,,indent-string,MIT,False
apache/airflow,,is-bigint,MIT,False
apache/airflow,,is-symbol,MIT,False
apache/airflow,,is-number-object,MIT,False
apache/airflow,,is-boolean-object,MIT,False
apache/airflow,,micromark-extension-gfm-strikethrough,unknown,False
apache/airflow,,micromark-util-resolve-all,MIT,False
apache/airflow,,micromark-util-chunked,MIT,False
apache/airflow,,cac,MIT,False
apache/airflow,,es-module-lexer,MIT,False
apache/airflow,,foreground-child,unknown,False
apache/airflow,,use-isomorphic-layout-effect,MIT,False
apache/airflow,,data-view-byte-offset,unknown,False
apache/airflow,,is-data-view,MIT,False
apache/airflow,,@xyflow/react,unknown,False
apache/airflow,,classcat,MIT,False
apache/airflow,,@xyflow/system,MIT,False
apache/airflow,,path-key,MIT,False
apache/airflow,,which,ISC,False
apache/airflow,,jackspeak,unknown,False
apache/airflow,,@pkgjs/parseargs,Apache-2.0 AND MIT,False
apache/airflow,,@isaacs/cliui,ISC,False
apache/airflow,,@ark-ui/react,unknown,False
apache/airflow,,@zag-js/steps,unknown,False
apache/airflow,,@zag-js/radio-group,unknown,False
apache/airflow,,@zag-js/pagination,unknown,False
apache/airflow,,@zag-js/listbox,unknown,False
apache/airflow,,@zag-js/tree-view,unknown,False
apache/airflow,,@zag-js/editable,unknown,False
apache/airflow,,@zag-js/tooltip,unknown,False
apache/airflow,,@zag-js/file-upload,unknown,False
apache/airflow,,@zag-js/clipboard,unknown,False
apache/airflow,,@zag-js/tags-input,unknown,False
apache/airflow,,@zag-js/auto-resize,unknown,False
apache/airflow,,@zag-js/carousel,unknown,False
apache/airflow,,@zag-js/select,unknown,False
apache/airflow,,@zag-js/qr-code,unknown,False
apache/airflow,,@zag-js/password-input,unknown,False
apache/airflow,,@zag-js/pin-input,unknown,False
apache/airflow,,@zag-js/switch,unknown,False
apache/airflow,,@zag-js/toggle,unknown,False
apache/airflow,,@zag-js/progress,unknown,False
