repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label
jupyter/notebook,,@jupyterlab/notebook,@lumino/disposable,unknown,BSD-3-Clause,US,
jupyter/notebook,,vega-encode,d3-array,BSD-3-Clause,ISC,US,
jupyter/notebook,,@stdlib/regexp,@stdlib/assert,Apache-2.0,Apache-2.0,US,
jupyter/notebook,,clean-css,source-map,unknown,BSD-3-Clause,US,
jupyter/notebook,,@jupyterlab/htmlviewer,@jupyterlab/ui-components,unknown,unknown,US,
jupyter/notebook,,com.github.jupyter/notebook,@lumino/commands,unknown,BSD-3-Clause,US,
jupyter/notebook,,got,@types/cacheable-request,MIT,unknown,US,
jupyter/notebook,,com.github.jupyter/notebook,@jupyterlab/translation,unknown,unknown,US,
jupyter/notebook,,@jupyterlab/running-extension,@jupyterlab/running,unknown,unknown,US,
jupyter/notebook,,p-queue,eventemitter3,MIT,MIT,US,
jupyter/notebook,,iterator.prototype,get-intrinsic,MIT,MIT,US,
jupyter/notebook,,@jupyterlab/cells,@jupyter/ydoc,unknown,unknown,US,
jupyter/notebook,,@babel/plugin-transform-member-expression-literals,@babel/helper-plugin-utils,MIT,MIT,US,
jupyter/notebook,,@webassemblyjs/wasm-edit,@webassemblyjs/wast-printer,MIT,unknown,US,
jupyter/notebook,,npm-registry-fetch,minipass,ISC,ISC,US,
jupyter/notebook,,conventional-commits-parser,split2,unknown,ISC,US,
jupyter/notebook,,@verdaccio/core,ajv,MIT,MIT,US,
jupyter/notebook,,object.entries,es-abstract,MIT,MIT,US,
jupyterlab/jupyterlab,,lerna,p-pipe,unknown,MIT,US,
jupyterlab/jupyterlab,,@jest/reporters,@jest/transform,unknown,MIT,US,
jupyterlab/jupyterlab,,get-stream,pump,unknown,MIT,US,
jupyterlab/jupyterlab,,@babel/traverse,@babel/types,unknown,MIT,US,
jupyterlab/jupyterlab,,webpack-bundle-analyzer,@discoveryjs/json-ext,unknown,MIT,US,
jupyterlab/jupyterlab,,@jupyterlab/running,@jupyter/react-components,unknown,unknown,US,
jupyterlab/jupyterlab,,timers-ext,next-tick,unknown,ISC,US,
jupyterlab/jupyterlab,,@lumino/widgets,@lumino/disposable,BSD-3-Clause,unknown,US,
jupyterlab/jupyterlab,,@octokit/auth-token,@octokit/types,unknown,MIT,US,
jupyterlab/jupyterlab,,vega-selections,vega-util,unknown,BSD-3-Clause,US,
jupyterlab/jupyterlab,,roughjs,path-data-parser,unknown,MIT,US,
jupyterlab/jupyterlab,,@types/d3,@types/d3-ease,unknown,MIT,US,
jupyterlab/jupyterlab,,@verdaccio/logger-commons,@verdaccio/logger-prettify,MIT,unknown,US,
jupyterlab/jupyterlab,,jsx-ast-utils,array-includes,unknown,MIT,US,
jupyterlab/jupyterlab,,lerna,@lerna/child-process,unknown,MIT,US,
jupyterlab/jupyterlab,,@jupyterlab/settingeditor-extension,react,unknown,MIT,US,
jupyterlab/jupyterlab,,clone-deep,kind-of,unknown,MIT,US,
jupyterlab/jupyterlab,,concat-stream,buffer-from,unknown,MIT,US,
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,vega-statistics,unknown,BSD-3-Clause,US,
jupyterlab/jupyterlab,,inquirer,rxjs,MIT,Apache-2.0,US,
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,apache/skywalking-eyes/header,unknown,unknown,US,
jupyterlab/jupyterlab,,@stdlib/cli,minimist,unknown,MIT,US,
jupyterlab/jupyterlab,,jest-circus,stack-utils,MIT,MIT,US,
jupyterlab/jupyterlab,,@babel/plugin-proposal-optional-chaining,@babel/helper-skip-transparent-expression-wrappers,MIT,MIT,US,
jupyterlab/jupyterlab,,jest-watcher,chalk,unknown,MIT,US,
jupyterlab/jupyterlab,,cacache,@npmcli/move-file,unknown,unknown,US,
jupyterlab/jupyterlab,,lerna,read-package-json,unknown,ISC,US,
jupyterlab/jupyterlab,,@lumino/signaling,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause,US,
jupyterlab/jupyterlab,,tmp,os-tmpdir,unknown,MIT,US,
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,@lezer/common,unknown,MIT,US,
jupyterlab/jupyterlab,,webpack,json-parse-even-better-errors,MIT,MIT,US,
jupyterlab/jupyterlab,,@types/d3,@types/d3-polygon,unknown,MIT,US,
jupyterlab/jupyterlab,,gunzip-maybe,through2,MIT,MIT,US,
jupyterlab/jupyterlab,,@pkgr/utils,open,unknown,MIT,US,
jupyterlab/jupyterlab,,@babel/helper-remap-async-to-generator,@babel/types,MIT,MIT,US,
jupyterlab/jupyterlab,,p-limit,yocto-queue,unknown,MIT,US,
jupyterlab/jupyterlab,,verror,assert-plus,MIT,MIT,US,
jupyterlab/jupyterlab,,normalize-package-data,resolve,BSD-2-Clause,unknown,US,
jupyterlab/jupyterlab,,@typescript-eslint/eslint-plugin,@typescript-eslint/scope-manager,unknown,MIT,US,
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,@jupyterlab/audio-extension,unknown,unknown,US,
jupyterlab/jupyterlab,,http-errors,toidentifier,MIT,MIT,US,
jupyterlab/jupyterlab,,jest-message-util,pretty-format,MIT,MIT,US,
jupyterlab/jupyterlab,,jest-haste-map,@types/node,MIT,MIT,US,
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,json5,unknown,MIT,US,
jupyterlab/jupyterlab,,lerna,p-map,unknown,MIT,US,
jupyterlab/jupyterlab,,minizlib,minipass,MIT,ISC,US,
jupyterlab/jupyterlab,,@jest/reporters,graceful-fs,unknown,ISC,US,
jupyterlab/jupyterlab,,jest-leak-detector,pretty-format,unknown,MIT,US,
jupyterlab/jupyterlab,,@babel/plugin-syntax-import-assertions,@babel/helper-plugin-utils,MIT,MIT,US,
jupyterlab/jupyterlab,,verdaccio,compression,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/first-interaction,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mypy,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,python-dateutil,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-timeout,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pandas-stubs,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipython,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,imjohnbo/issue-bot,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,numpy,unknown,BSD-2-Clause,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mpl-sphinx-theme,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pydata-sphinx-theme,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,prettier,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,setuptools,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pillow,unknown,MIT-CMU,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,tornado,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,eslint,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/cache,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-design,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,numpydoc,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,scientific-python/circleci-artifacts-redirector-action,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,black,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyyaml,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/attest-build-provenance,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pre-commit/action,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,matplotlib-inline,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/upload-artifact,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,reviewdog/action-eslint,unknown,unknown,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,meson,unknown,Apache-2.0,US,
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,packaging,unknown,(Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause) OR (Apache-2.0 AND BSD-2-Clause),US,
