repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
jupyter/notebook,,@jest/test-result,@jest/console,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@lezer/generator,@lezer/common,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@codemirror/lang-javascript,@lezer/javascript,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,cytoscape-fcose,cose-base,MIT,unknown,US,compatible,default_compatible,low
jupyter/notebook,,error-ex,is-arrayish,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@babel/traverse,@babel/helper-environment-visitor,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,jest-snapshot,@babel/types,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,vega-lite,yargs,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@stdlib/blas,@stdlib/math,unknown,Apache-2.0,US,compatible,child_permissive,high
jupyter/notebook,,@jupyterlab/testing,ts-jest,BSD-3-Clause,MIT,US,compatible,child_permissive,high
jupyter/notebook,,yargs,cliui,MIT,ISC,US,compatible,child_permissive,high
jupyter/notebook,,@babel/plugin-transform-literals,@babel/helper-plugin-utils,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,jest-runner,@jest/types,unknown,MIT,US,compatible,child_permissive,high
jupyter/notebook,,source-map-loader,loader-utils,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@jupyterlab/notebook,@jupyterlab/docregistry,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,@octokit/request-error,@octokit/types,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@jupyterlab/notebook,@lumino/disposable,unknown,BSD-3-Clause,US,compatible,child_permissive,high
jupyter/notebook,,vega-encode,d3-array,BSD-3-Clause,ISC,US,compatible,child_permissive,high
jupyter/notebook,,@stdlib/regexp,@stdlib/assert,Apache-2.0,Apache-2.0,US,compatible,child_permissive,high
jupyter/notebook,,clean-css,source-map,unknown,BSD-3-Clause,US,compatible,child_permissive,high
jupyter/notebook,,@jupyterlab/htmlviewer,@jupyterlab/ui-components,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,com.github.jupyter/notebook,@lumino/commands,unknown,BSD-3-Clause,US,compatible,child_permissive,high
jupyter/notebook,,got,@types/cacheable-request,MIT,unknown,US,compatible,default_compatible,low
jupyter/notebook,,com.github.jupyter/notebook,@jupyterlab/translation,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,@jupyterlab/running-extension,@jupyterlab/running,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,p-queue,eventemitter3,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,iterator.prototype,get-intrinsic,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@jupyterlab/cells,@jupyter/ydoc,unknown,unknown,US,compatible,default_compatible,low
jupyter/notebook,,@babel/plugin-transform-member-expression-literals,@babel/helper-plugin-utils,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,@webassemblyjs/wasm-edit,@webassemblyjs/wast-printer,MIT,unknown,US,compatible,default_compatible,low
jupyter/notebook,,npm-registry-fetch,minipass,ISC,ISC,US,compatible,child_permissive,high
jupyter/notebook,,conventional-commits-parser,split2,unknown,ISC,US,compatible,child_permissive,high
jupyter/notebook,,@verdaccio/core,ajv,MIT,MIT,US,compatible,child_permissive,high
jupyter/notebook,,object.entries,es-abstract,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,lerna,p-pipe,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@jest/reporters,@jest/transform,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,get-stream,pump,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@babel/traverse,@babel/types,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,webpack-bundle-analyzer,@discoveryjs/json-ext,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@jupyterlab/running,@jupyter/react-components,unknown,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,timers-ext,next-tick,unknown,ISC,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@lumino/widgets,@lumino/disposable,BSD-3-Clause,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,@octokit/auth-token,@octokit/types,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,vega-selections,vega-util,unknown,BSD-3-Clause,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,roughjs,path-data-parser,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@types/d3,@types/d3-ease,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@verdaccio/logger-commons,@verdaccio/logger-prettify,MIT,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,jsx-ast-utils,array-includes,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,lerna,@lerna/child-process,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@jupyterlab/settingeditor-extension,react,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,clone-deep,kind-of,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,concat-stream,buffer-from,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,vega-statistics,unknown,BSD-3-Clause,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,inquirer,rxjs,MIT,Apache-2.0,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,apache/skywalking-eyes/header,unknown,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,@stdlib/cli,minimist,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,jest-circus,stack-utils,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@babel/plugin-proposal-optional-chaining,@babel/helper-skip-transparent-expression-wrappers,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,jest-watcher,chalk,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,cacache,@npmcli/move-file,unknown,unknown,US,compatible,default_compatible,low
jupyterlab/jupyterlab,,lerna,read-package-json,unknown,ISC,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@lumino/signaling,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,tmp,os-tmpdir,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,com.github.jupyterlab/jupyterlab,@lezer/common,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,webpack,json-parse-even-better-errors,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@types/d3,@types/d3-polygon,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,gunzip-maybe,through2,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@pkgr/utils,open,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,@babel/helper-remap-async-to-generator,@babel/types,MIT,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,p-limit,yocto-queue,unknown,MIT,US,compatible,child_permissive,high
jupyterlab/jupyterlab,,verror,assert-plus,MIT,MIT,US,compatible,child_permissive,high
